covariate,411.2_all_hazards ratio,411.2_all_95% confidence interval (lower),411.2_all_95% confidence interval (upper),411.2_all_pvalue,411.2_new_hazards ratio,411.2_new_95% confidence interval (lower),411.2_new_95% confidence interval (upper),411.2_new_pvalue,591_all_hazards ratio,591_all_95% confidence interval (lower),591_all_95% confidence interval (upper),591_all_pvalue,591_new_hazards ratio,591_new_95% confidence interval (lower),591_new_95% confidence interval (upper),591_new_pvalue,585.1_all_hazards ratio,585.1_all_95% confidence interval (lower),585.1_all_95% confidence interval (upper),585.1_all_pvalue,585.1_new_hazards ratio,585.1_new_95% confidence interval (lower),585.1_new_95% confidence interval (upper),585.1_new_pvalue,250.2_all_hazards ratio,250.2_all_95% confidence interval (lower),250.2_all_95% confidence interval (upper),250.2_all_pvalue,250.2_new_hazards ratio,250.2_new_95% confidence interval (lower),250.2_new_95% confidence interval (upper),250.2_new_pvalue
WHITE,0.7826632326646848,0.6874422886356143,0.8910736884995871,0.000213555467309,0.8007206828617512,0.6760173678662773,0.9484277215928208,0.0100827162154067,1.1314232056743028,1.0263340268931551,1.2472727560377184,0.0130436134586983,1.1741737007399502,1.0457173584751085,1.3184096719210836,0.0066039759928435,1.029123697771046,0.9394792633972238,1.1273219394797351,0.5369862699684346,0.9746487977520896,0.8743153820829497,1.0864961299165032,0.6431689017860246,0.7679525112604081,0.715152125651941,0.8246512013280297,3.738441425771364e-13,0.6309681119896133,0.5723788204294946,0.6955546643899232,2.0176407684824924e-20
272.1,1.4230664782309903,1.234831375246331,1.6399957452172544,1.0943295842963794e-06,1.7455184082985442,1.4615091738852657,2.084718021720932,7.83912708123851e-10,1.0432619330212711,0.9364327100729456,1.1622783454526024,0.4422563274616607,1.0456336110738365,0.9202641821594258,1.188082367871512,0.4934772133327533,0.9021279685421936,0.8252252634837612,0.9861972332141034,0.023469558404142,1.0547273574177085,0.9474168236863628,1.1741925736096206,0.3304142678196318,1.5858462538493023,1.4728631186532906,1.7074963104157077,2.201537809571441e-34,2.412534014286739,2.186318237900269,2.662156070966274,8.284147722441317e-69
BLACK OR AFRICAN AMERICAN,0.7494980044602847,0.6276426818891742,0.8950112458877348,0.0014465290038273,0.8127138427674588,0.6483186576599848,1.0187949743878195,0.0721014772969598,1.0847603630670313,0.9580660359327376,1.2282087049831811,0.1991670473353024,1.0428019565440592,0.8971629388678176,1.2120829711762466,0.5850187390829538,1.3310446912599023,1.1979118544902083,1.4789735684560343,1.0466157614473509e-07,1.461129748276274,1.2896440177211257,1.655418171186788,2.627149694024994e-09,0.8216765220698561,0.7508583692586385,0.8991739781597261,1.9450733406684733e-05,0.9413352941341074,0.8353613156242984,1.0607531368870249,0.3211493681253721
530.11,0.9214701285490432,0.8034442129713969,1.0568340453507246,0.2421999643832219,1.0075078628303762,0.8500695221533507,1.1941047963861893,0.9312450501884322,1.1855980395888348,1.0733414670961106,1.309595086528994,0.0007949628525605,1.1966357383539956,1.063343884549896,1.346635938863878,0.0028891468257306,1.031332745695594,0.9453373664995484,1.1251509461458709,0.4873561392075894,1.100496488994088,0.9906920754288854,1.2224711919331896,0.0741651546482637,1.1785199881376236,1.1011000467045986,1.2613834379506834,2.1588599727853667e-06,1.091396053085076,0.9957464815180864,1.1962335461870732,0.0616399330595749
ASIAN,0.3343112431629146,0.1920638979748593,0.5819105437491595,0.0001067810367906,0.3809309462951357,0.1952246909735783,0.7432891050904341,0.0046575742361012,1.1866134040248562,0.9099854247770948,1.5473339817023612,0.2064290932048663,1.2311495576423208,0.8914388698919508,1.7003176375589275,0.2068224212103443,1.7497137860457224,1.4515659788219886,2.1091003631560725,4.366990343037039e-09,1.1494143636453849,0.8578987556844208,1.5399875225373485,0.3508072313040297,0.9222708853161684,0.7693108743492367,1.1056435236553506,0.3818224801054152,1.099118984054638,0.8682405148367721,1.3913915792519929,0.4321187498966855
508.0,1.0792946938975818,0.9370110176577368,1.2431839266813949,0.29007761443423,1.2090803466094435,1.01330555332952,1.4426796337529006,0.0351501427800197,1.2234187358235642,1.1011749954539976,1.3592330095972072,0.0001737953523521,1.377926867419748,1.214914459966924,1.5628116336757498,6.024941311756247e-07,1.3478940462204718,1.231940440083834,1.474761523140648,7.774633142857981e-11,1.944292023234512,1.7495005195154063,2.1607718485619243,5.21760606932273e-35,0.9076889963242508,0.8442480039610055,0.9758972602630877,0.0087944411272657,1.05619566358632,0.958783598794568,1.1635047587183105,0.2681108287682319
covid_prob,80.26188003816095,62.41732602846346,103.20803208267016,4.5433592022743997e-256,121.73643946862786,87.37505725149906,169.61088393729938,3.796007479405817e-177,61.37979641258245,51.272671847000254,73.47928773621126,< 2.225E-308,72.02068997078683,58.11570554179512,89.25263378481866,< 2.225E-308,6333.162822425294,4947.051622643732,8107.6476242460285,< 2.225E-308,12647.835661573046,9277.738823518152,17242.104996171744,< 2.225E-308,217.2709137657941,187.89835935933493,251.23503009595524,< 2.225E-308,345.7304253755664,283.179738806856,422.0977374087338,< 2.225E-308
NAT.HAWAIIAN/OTH.PACIFIC ,1.324498696930028,0.3302660113906434,5.311769112366619,0.6916717575196485,2.143360220548746,0.5333015044372639,8.614251032121723,0.2827431661104829,0.7900117466286342,0.1972433327213537,3.1642061163756523,0.7391864387512708,0.936129054382271,0.2335286412357213,3.752591552888276,0.9257687047043014,0.6416731711019507,0.1602254978059203,2.5697811156797,0.5308346273163472,0.3439228644870413,0.0483608416450203,2.4458411535761826,0.2862524996327107,1.0505630739209724,0.4712932226682141,2.3418176184198267,0.9040032824297368,1.366472993087488,0.5669279233332559,3.293625810242297,0.4866743515990052
760.0,0.8229640330450065,0.7119160029973806,0.9513338607844084,0.008424880744946,0.8716292801657257,0.7285702231998914,1.042778826048424,0.1330931580543366,1.2002034728539657,1.0835309719869308,1.3294390409618069,0.0004696280220181,1.4402283284319148,1.279052141859461,1.6217146824071398,1.6966710668715154e-09,0.8815441158977543,0.8042014581738309,0.9663250674011786,0.0071212630755746,0.9099785609283207,0.8150315477736254,1.015986416245045,0.0933722356188526,0.7848986453023128,0.7295548864205571,0.8444407608864543,8.463021064087033e-11,0.96372734377486,0.8755039950318617,1.060840839573264,0.4506993856788249
646.0,0.8191668542187808,0.7049455598698278,0.9518952572374576,0.0092297432993466,0.8628953345272341,0.7149220439653347,1.0414958730590929,0.1244500020464498,0.8536154992805576,0.7725852142954331,0.9431444028818282,0.0018692679469435,1.0092689947574398,0.8969861360910403,1.1356071881085428,0.8781427380252393,0.871588661105703,0.7956982629038427,0.9547171705461356,0.0031067611583564,0.9560899359019612,0.8558734994474596,1.0680409734886662,0.4267239955785618,1.1903631550992364,1.109586454735925,1.2770203123604618,1.1719227438995987e-06,0.9564151656558484,0.8669991151389728,1.0550529442580574,0.3735476252623562
sex_1,0.5102846796058722,0.4537036379408079,0.5739219006977397,3.2490230017339416e-29,0.4657620075210967,0.4007191316682927,0.5413623421146161,2.3666040806178025e-23,1.4067577678840169,1.289411667479224,1.5347832406161377,1.5949634561183787e-14,1.6294580844848932,1.470129292991685,1.806054516259608,1.4039354816045212e-20,0.5833944806496789,0.5412488229443104,0.6288219126298726,4.650957065654458e-45,0.5477279662566966,0.5002401328425137,0.5997238232665857,1.0782533503416984e-38,0.9118491186166292,0.8583591178619461,0.9686724330406108,0.0027723689452735,0.7967418996484922,0.7346451854943714,0.8640874087105164,4.0542709978160177e-08
age_adult,0.9641310328995344,0.7107681004396428,1.307808620033671,0.8143445200775353,1.9440905339987284,1.1000190486333783,3.435838687592686,0.0221341623295672,0.6062909753592728,0.5164943378652145,0.7116994705526183,9.45068216299683e-10,0.6522571589314161,0.5346025369111561,0.7958050551637862,2.5485359076092635e-05,2.643509452232033,2.013793819334088,3.4701378844984787,2.5139185331861136e-12,2.695938593172904,1.9522712708394456,3.722886776402716,1.7171865826554311e-09,27.67778980494192,12.402995808229566,61.76411411654714,5.14138231293162e-16,17.850058744197618,7.395899857287882,43.08124816716317,1.4454766844729759e-10
512.8,0.6727149640586197,0.5840126571131579,0.7748897517142428,3.9058959350972134e-08,0.7537243858630563,0.6325954349976994,0.8980470272389928,0.0015617131992095,0.8767382336587896,0.7939040765669175,0.9682151194928948,0.0093806037833659,1.0243489526800325,0.9114774317115474,1.1511977591001346,0.6863004539533157,0.850385765968851,0.7800141557468484,0.9271061885665672,0.0002356725642393,0.773768577067577,0.696819803676836,0.8592146889310425,1.5930508211362578e-06,0.8675025229097081,0.8089134516028524,0.9303351622642926,6.778125429295333e-05,0.8802542094642859,0.8012787398960662,0.9670136429429042,0.0078294436241857
512.7,0.948809727541442,0.8333951976122809,1.0802076873690871,0.427158775190774,1.0318917366328757,0.8765889040927096,1.2147091426320364,0.7060013065442454,0.9399457817873886,0.8503760227099353,1.0389498869975404,0.2254641605545044,0.8218046762045126,0.7298308403268198,0.9253691246168426,0.0011920373721184,0.8745373954396072,0.8028335048004741,0.952645413338061,0.0021304092176409,0.8571113105016517,0.7754432393922199,0.9473804932075464,0.0025444467854296,0.9820948830238588,0.9169748929478928,1.0518394414932533,0.6057554711023927,0.9671865204536562,0.8844282045630043,1.057688753616192,0.4647511026690395
AMERICAN INDIAN OR ALASKA,3.889427596030716,2.329294821353767,6.494517948558015,2.0755761251508394e-07,0.4448005240800691,0.0624763919789033,3.166756273132932,0.4185476463951796,1.0204880629662372,0.4855705739631805,2.1446849181094505,0.9573174734460644,1.2964363182627512,0.5807945046600365,2.893875740602074,0.5262786871487402,1.1753551817414458,0.6102684747835327,2.263691900087879,0.628986273217594,1.242259240875792,0.556773874029588,2.7716961831784697,0.5962513995753154,1.3835672985475544,0.8701982147619961,2.1997959052739926,0.169971872263272,1.0068342380221755,0.478962933647774,2.1164794008865284,0.9856642793967488
401.1,1.042504286764147,0.8977868783294453,1.2105492006565206,0.5851292237026524,1.0039805446909436,0.8307932160717917,1.213270540272227,0.9671990123859132,1.0267770027955176,0.9198170907494162,1.1461746297960005,0.6377761157699882,1.0373919759321986,0.911699502552256,1.1804131829794735,0.5774701861739531,1.1661295993806025,1.0605671755481818,1.2821990665972536,0.0015003789703142,1.3096321414657333,1.1700024301428091,1.4659254560272792,2.739137098609064e-06,1.5532931958911658,1.4295670319998623,1.687727611503861,2.5221854441821287e-25,1.7112898501542126,1.5368233772541782,1.905562470342664,1.2126483697248705e-22
HISPANIC OR LATINO OR SPANISH ORIGIN,0.7664668941602912,0.6667109048249895,0.8811487791667865,0.0001851123029869,0.7340335164570112,0.6118256033947147,0.8806516110026851,0.0008752609568201,1.1037976358867754,1.0022348286164966,1.2156524461149425,0.044931793462629,1.1478729941636163,1.0233746598955795,1.2875171355763184,0.0185513190155889,0.7258779829532206,0.6622566206994576,0.7956112927640342,7.62634129574011e-12,0.7492170972624863,0.6715445856541116,0.8358734041220381,2.335750245794557e-07,0.7923155289690854,0.736412200299243,0.8524626522896662,4.49499517167892e-10,1.0053028767164711,0.9115288032793056,1.1087240143137198,0.9156928240967066
1009.0,1.0350776054826467,0.8965716757970201,1.1949804776280335,0.6380795453645074,1.0624628817016415,0.8874026699529463,1.2720576725936732,0.5095277248324834,0.965317928146012,0.872762597252975,1.067688630714786,0.4924770909248195,1.2583729938078592,1.1202031412868123,1.4135852089523115,0.0001076131073562,1.0422956991680743,0.95208010402039,1.1410597909952749,0.3698024221644357,1.1111318522971632,0.9971443697816568,1.238149690861381,0.0563678334222795,0.8779716553709186,0.8158417060153881,0.944833074787932,0.000510137779614,0.9897645098394504,0.8974060331004988,1.09162825834047,0.836909819640872
age_adol,0.201897851958234,0.0728902984486435,0.5592341298213956,0.0020836504314952,0.3824036253642853,0.0862626135573222,1.695201741071478,0.2057787090342328,0.466365602871987,0.3342802523390175,0.650642309918962,7.131754471013944e-06,0.5372595643509033,0.3645363150970034,0.7918219050678474,0.0016923154473414,2.8047561832362518,1.956043025897732,4.021719943400303,2.0382932746903557e-08,2.968430474673181,1.93799689916319,4.546745914182426,5.690367575602665e-07,9.430072127797404,3.8393716634974697,23.16167022352148,9.866913627293922e-07,4.537570402292466,1.5204189174144436,13.54202116267684,0.0067078752235866
339.0,1.0037221264349638,0.8589910370193091,1.1728389048051022,0.9627014538577088,1.0652654439830054,0.8800099124100806,1.289520095332179,0.5165824969388457,0.943456218844508,0.847277914629977,1.0505521523774226,0.2886885047810247,1.0910882552000063,0.9624168608494128,1.236962514959165,0.1733163127990437,0.7976097477444768,0.7221187323043612,0.8809926695390973,8.288419386850584e-06,0.8056740457860203,0.714974060326968,0.9078800254045116,0.0003912274230573,0.7967695327034354,0.7367248252327616,0.8617080170250518,1.3220399598837004e-08,0.923449603651758,0.8321515052988143,1.0247643188224174,0.1337709478477599
age_senior,2.135488052836549,1.5788460788544023,2.888381131564489,8.484662694565919e-07,4.979096433065609,2.8294618377149536,8.76187865809421,2.5923397389262303e-08,0.6729278012070684,0.5688389318491386,0.7960633498929975,3.834388911366568e-06,0.9215972115476952,0.750399528980597,1.1318522833913565,0.4361552634227991,3.809446493624805,2.899591833792639,5.004801854752402,7.593596045705152e-22,3.830795182658176,2.7725778158383405,5.292905269473863,3.87744503784293e-16,38.362979058556505,17.184597868585502,85.6416992414839,5.536996492436099e-19,33.45655652020652,13.860271042752837,80.75896717582927,5.842570169625649e-15
